Date : 2024-04-23 21:07:09
Directory : c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF
Total : 79 files,  3843 codes, 666 comments, 787 blanks, all 5296 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_65.html          | HTML     |         23 |          2 |          6 |         31 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_66.html          | HTML     |         16 |          2 |          6 |         24 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_67.html          | HTML     |         37 |          2 |          6 |         45 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_68.html          | HTML     |         16 |          2 |          6 |         24 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_69.html          | HTML     |         26 |          2 |          6 |         34 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_70.html          | HTML     |         19 |          2 |          6 |         27 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_71.html          | HTML     |         30 |          2 |          6 |         38 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_73.html          | HTML     |         32 |          2 |          6 |         40 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_76.html          | HTML     |         22 |          2 |          6 |         30 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_78.html          | HTML     |         29 |          2 |          6 |         37 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_79.html          | HTML     |         32 |          2 |          6 |         40 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_80.html          | HTML     |         34 |          2 |          6 |         42 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_81.html          | HTML     |         20 |          2 |          6 |         28 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_82.html          | HTML     |         18 |          2 |          6 |         26 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_83.html          | HTML     |         52 |          2 |          6 |         60 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_84.html          | HTML     |         17 |          2 |          6 |         25 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_88.html          | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\navig.html             | HTML     |         15 |          1 |          2 |         18 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\packages.html          | HTML     |         17 |          2 |          6 |         25 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\public_operations.html | HTML     |        126 |          2 |          6 |        134 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\public_properties.html | HTML     |         21 |          2 |          6 |         29 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\style.css              | CSS      |         32 |          0 |          6 |         38 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Circuit.cpp                   | C++      |        460 |          0 |         45 |        505 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Circuit.h                     | C++      |         84 |          0 |         20 |        104 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Component.cpp                 | C++      |        122 |          0 |         21 |        143 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Component.h                   | C++      |         56 |        100 |         29 |        185 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Gate.cpp                      | C++      |         59 |          0 |         11 |         70 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Gate.h                        | C++      |         57 |          0 |         13 |         70 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Lamp.cpp                      | C++      |         16 |          0 |          4 |         20 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Lamp.h                        | C++      |         13 |         20 |          8 |         41 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Node.cpp                      | C++      |         24 |          0 |          7 |         31 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Node.h                        | C++      |         16 |          0 |          7 |         23 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Pin.cpp                       | C++      |         60 |          0 |         16 |         76 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Pin.h                         | C++      |         37 |         88 |         20 |        145 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Queue.h                       | C++      |        116 |         62 |         21 |        199 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Signal.h                      | C++      |         14 |         38 |         10 |         62 |
| c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Source.cpp                    | C++      |         15 |          0 |          3 |         18 |
