"filename", "language", "C++", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_76.html", "HTML", 0, 0, 22, 0, 2, 6, 30
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_78.html", "HTML", 0, 0, 29, 0, 2, 6, 37
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_79.html", "HTML", 0, 0, 32, 0, 2, 6, 40
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_80.html", "HTML", 0, 0, 34, 0, 2, 6, 42
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_81.html", "HTML", 0, 0, 20, 0, 2, 6, 28
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_82.html", "HTML", 0, 0, 18, 0, 2, 6, 26
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_83.html", "HTML", 0, 0, 52, 0, 2, 6, 60
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_84.html", "HTML", 0, 0, 17, 0, 2, 6, 25
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\index_88.html", "HTML", 0, 0, 21, 0, 2, 6, 29
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\navig.html", "HTML", 0, 0, 15, 0, 1, 2, 18
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\packages.html", "HTML", 0, 0, 17, 0, 2, 6, 25
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\public_operations.html", "HTML", 0, 0, 126, 0, 2, 6, 134
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\public_properties.html", "HTML", 0, 0, 21, 0, 2, 6, 29
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\UML\Export\style.css", "CSS", 0, 0, 0, 32, 0, 6, 38
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Circuit.cpp", "C++", 460, 0, 0, 0, 0, 45, 505
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Circuit.h", "C++", 84, 0, 0, 0, 0, 20, 104
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Component.cpp", "C++", 122, 0, 0, 0, 0, 21, 143
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Component.h", "C++", 56, 0, 0, 0, 100, 29, 185
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Gate.cpp", "C++", 59, 0, 0, 0, 0, 11, 70
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Gate.h", "C++", 57, 0, 0, 0, 0, 13, 70
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Lamp.cpp", "C++", 16, 0, 0, 0, 0, 4, 20
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Lamp.h", "C++", 13, 0, 0, 0, 20, 8, 41
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Node.cpp", "C++", 24, 0, 0, 0, 0, 7, 31
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Node.h", "C++", 16, 0, 0, 0, 0, 7, 23
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Pin.cpp", "C++", 60, 0, 0, 0, 0, 16, 76
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Pin.h", "C++", 37, 0, 0, 0, 88, 20, 145
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Queue.h", "C++", 116, 0, 0, 0, 62, 21, 199
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Signal.h", "C++", 14, 0, 0, 0, 38, 10, 62
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Source.cpp", "C++", 15, 0, 0, 0, 0, 3, 18
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Source.h", "C++", 15, 0, 0, 0, 28, 10, 53
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Switch.cpp", "C++", 18, 0, 0, 0, 0, 4, 22
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\src\Switch.h", "C++", 16, 0, 0, 0, 29, 10, 55
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\Menu.cpp", "C++", 122, 0, 0, 0, 0, 15, 137
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\Menu.h", "C++", 23, 0, 0, 0, 0, 5, 28
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\UnitTest.cpp", "C++", 45, 0, 0, 0, 0, 12, 57
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\gtest_lite.h", "C++", 269, 0, 0, 0, 121, 72, 462
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\memtrace.cpp", "C++", 438, 0, 0, 0, 42, 66, 546
"c:\Users\palin\VSCodeProjects\Egyetem\2.Felev\Prog2NHF\test\memtrace.h", "C++", 163, 0, 0, 0, 34, 43, 240
"Total", "-", 2258, 1, 1552, 32, 666, 787, 5296
